grid,rows,cols,n_dirty,algorithm,heuristic,status,cost,nodes_expanded,max_frontier,iterations,seconds
g1_tiny,3,3,2,dfs,-,ok,12,16,5,,0.0001
g1_tiny,3,3,2,astar,h0,ok,7,21,4,,0.0001
g1_tiny,3,3,2,astar,h1,ok,7,20,5,,0.0001
g1_tiny,3,3,2,astar,h2,ok,7,13,4,,0.0001
g1_tiny,3,3,2,astar,h3,SKIP,,,,,
g1_tiny,3,3,2,idastar,h0,ok,7,95,,8,0.0004
g1_tiny,3,3,2,idastar,h1,ok,7,52,,6,0.0002
g1_tiny,3,3,2,idastar,h2,ok,7,27,,4,0.0002
g1_tiny,3,3,2,idastar,h3,SKIP,,,,,
g2_open,4,4,3,dfs,-,ok,36,48,32,,0.0002
g2_open,4,4,3,astar,h0,ok,12,98,17,,0.0005
g2_open,4,4,3,astar,h1,ok,12,96,18,,0.0005
g2_open,4,4,3,astar,h2,ok,12,76,21,,0.0005
g2_open,4,4,3,astar,h3,SKIP,,,,,
g2_open,4,4,3,idastar,h0,ok,12,15586,,13,0.0509
g2_open,4,4,3,idastar,h1,ok,12,3821,,10,0.0128
g2_open,4,4,3,idastar,h2,ok,12,616,,4,0.003
g2_open,4,4,3,idastar,h3,SKIP,,,,,
g3_blocks,4,4,5,dfs,-,ok,43,69,34,,0.0003
g3_blocks,4,4,5,astar,h0,ok,15,411,61,,0.0017
g3_blocks,4,4,5,astar,h1,ok,15,331,71,,0.0014
g3_blocks,4,4,5,astar,h2,ok,15,256,87,,0.0015
g3_blocks,4,4,5,astar,h3,SKIP,,,,,
g3_blocks,4,4,5,idastar,h0,ok,15,29281,,16,0.0934
g3_blocks,4,4,5,idastar,h1,ok,15,4463,,11,0.0151
g3_blocks,4,4,5,idastar,h2,ok,15,2010,,8,0.0107
g3_blocks,4,4,5,idastar,h3,SKIP,,,,,
